iter	RMSE
0	3738.542132
1	3496.290767
2	3269.857381
3	3062.762366
4	2875.273531
5	2696.788282
6	2530.712721
7	2379.283412
8	2241.122157
9	2110.358925
10	1993.175131
11	1880.561405
12	1780.047323
13	1687.271618
14	1603.18572
15	1523.269457
16	1450.186045
17	1382.52416
18	1320.129018
19	1263.184307
20	1209.199902
21	1163.734349
22	1118.322464
23	1076.022025
24	1038.406433
25	1004.566567
26	973.1747456
27	944.0422858
28	918.4608261
29	893.2504138
30	870.3315057
31	850.8934495
32	832.6023275
33	815.9629018
34	800.1666012
35	785.8307203
36	772.5347196
37	760.8736767
38	749.5655688
39	738.9171388
40	729.7647187
41	720.2790355
42	711.2477312
43	702.8978194
44	695.6271288
45	688.7844573
46	682.7470438
47	676.4462192
48	670.2751725
49	665.8316989
50	660.1104127
51	655.4286494
52	651.3253812
53	647.0630776
54	643.1729813
55	639.4069807
56	635.5179658
57	632.739056
58	628.9853365
59	625.6205365
60	623.027886
61	620.7721319
62	618.781249
63	616.0153818
64	613.9521207
65	611.7258391
66	609.0489365
67	607.1531775
68	605.185427
69	603.4140137
70	601.781507
71	599.8339494
72	598.0090693
73	596.0712579
74	594.8996402
75	593.7552173
76	592.323919
77	591.2624795
78	590.2725412
79	588.7260522
80	587.7842336
81	586.6020081
82	585.3010212
83	584.1332848
84	582.6031529
85	581.5485479
86	580.0665883
87	578.6310884
88	576.928784
89	575.7558702
90	574.7809816
91	573.8002406
92	572.4913059
93	571.9160383
94	570.6087848
95	569.758993
96	568.6822782
97	567.5560215
98	566.7543018
99	565.9234427
100	565.4194545
101	564.7431948
102	564.171662
103	563.6386643
104	563.246256
105	562.3394119
106	561.5202662
107	560.9212667
108	559.773053
109	558.868426
110	558.2191134
111	557.833237
112	557.2672722
113	556.6290592
114	556.209093
115	555.8726623
116	555.6134327
117	555.08324
118	554.2418925
119	553.699344
120	553.0584271
121	552.4097283
122	551.7811292
123	551.2956941
124	550.516155
125	550.1927209
126	549.7319697
127	549.3302065
128	548.8116221
129	548.4604415
130	547.7990585
131	547.0754731
132	546.4884637
133	546.1801355
134	545.9858124
135	545.3269563
136	545.058973
137	544.6729109
138	544.4392019
139	543.7415821
140	543.2270838
141	542.8779197
142	542.1764198
143	541.9200481
144	541.7304315
145	541.4605756
146	541.1155703
147	540.5253694
148	540.3886828
149	539.7030525
150	539.3325682
151	538.9688608
152	538.5804065
153	538.4288167
154	537.9504222
155	537.6829306
156	537.3412109
157	536.9869701
158	536.7201657
159	536.2720657
160	535.9891613
161	535.8766307
162	535.4933911
163	535.1365021
164	535.0080441
165	534.7780787
166	534.5087621
167	534.3187572
168	534.1398247
169	533.8621914
170	533.6939392
171	533.5201102
172	533.2117515
173	532.7269078
174	532.4370855
175	532.0083369
176	531.9739338
177	531.5086387
178	531.3239781
179	530.9576854
180	530.2220458
181	530.095972
182	529.9280867
183	529.5053763
184	529.3790082
185	528.9678525
186	528.8220846
187	528.5577177
188	528.1203775
189	527.6218553
190	527.2210911
191	526.7827591
192	526.2752991
193	525.7931706
194	525.5690206
195	524.876896
196	524.4225462
197	524.0576682
198	523.5282978
199	523.4432134
200	522.9294776
201	522.6399405
202	522.2613624
203	521.8953568
204	521.5360292
205	521.406655
206	521.0353319
207	520.7808895
208	520.463574
209	520.0713066
210	519.6944012
211	519.3891646
212	519.0798287
213	518.8652278
214	518.5871808
215	518.4450506
216	518.2254546
217	517.8554827
218	517.8179937
219	517.6290278
220	517.3700829
221	517.255442
222	517.1086732
223	517.0093372
224	516.7849392
225	516.4798121
226	516.342175
227	516.1771512
228	515.9626767
229	515.6538697
230	515.6107114
231	515.5159157
232	515.4753605
233	515.234019
234	514.9908905
235	514.5704606
236	514.3946905
237	514.1053987
238	513.7677944
239	513.5964864
240	513.5147454
241	513.2032051
242	513.0121072
243	512.6116421
244	512.4740746
245	512.1945139
246	511.992157
247	511.6813138
248	511.6662236
249	511.4611059
250	511.2560589
251	511.0655885
252	510.8208972
253	510.8070801
254	510.5941617
255	510.5411912
256	510.1736776
257	509.9213829
258	509.6197808
259	509.3791572
260	509.2178932
261	509.117733
262	508.9272807
263	508.5746951
264	508.3055592
265	508.1393945
266	507.9432131
267	507.6981305
268	507.3453558
269	507.0302243
270	506.8229487
271	506.4531377
272	506.2663842
273	506.1390464
274	505.9144443
275	505.7294632
276	505.6877101
277	505.4546989
278	505.2483
279	505.1115475
280	504.8934285
281	504.7411613
282	504.5177596
283	504.3460807
284	504.0764251
285	503.8688704
286	503.7616897
287	503.6429112
288	503.5463411
289	503.4587568
290	503.4469682
291	503.3085428
292	503.0908399
293	502.9343068
294	502.7903312
295	502.615917
296	502.3393549
297	502.0993799
298	501.8314314
299	501.8064857
300	501.6733997
301	501.4461175
302	501.028555
303	500.8026468
304	500.5383678
305	500.3618417
306	500.2084725
307	499.9349715
308	499.7639536
309	499.3481769
310	499.1562142
311	499.0919078
312	498.9408305
313	498.6253601
314	498.4667324
315	498.2533644
316	498.116924
317	497.9337147
318	497.7042682
319	497.4433747
320	497.1370968
321	497.0815414
322	496.8749347
323	496.7305862
324	496.602494
325	496.2276211
326	496.2252158
327	496.0337605
328	495.9068777
329	495.7918813
330	495.4374495
331	495.4282025
332	495.3729381
333	495.140297
334	495.092886
335	494.9897186
336	494.7632367
337	494.5984809
338	494.4000866
339	494.3544526
340	494.09964
341	493.9572272
342	493.9108608
343	493.7184132
344	493.3779428
345	493.3470556
346	493.2996655
347	493.1390336
348	492.8493204
349	492.5896676
350	492.2747479
351	492.1791402
352	491.8670788
353	491.78348
354	491.6365106
355	491.4934249
356	491.1827599
357	491.0661776
358	490.9907055
359	490.6912241
360	490.4739202
361	490.2064115
362	489.9151069
363	489.7989515
364	489.5591978
365	489.2954071
366	489.1822577
367	489.0469103
368	489.0432723
369	488.7595947
370	488.4723589
371	488.2437139
372	488.0307485
373	487.9216664
374	487.7239538
375	487.5211892
376	487.4633432
377	487.1572889
378	486.9009152
379	486.6885416
380	486.5739115
381	486.4573805
382	486.3019422
383	486.0756059
384	485.8800937
385	485.843871
386	485.6184196
387	485.5057283
388	485.5039174
389	485.3963866
390	485.2854953
391	485.2824502
392	485.1174793
393	484.9000406
394	484.6966021
395	484.5488763
396	484.3301462
397	484.2885844
398	484.0647589
399	483.8105096
400	483.661823
401	483.4744582
402	483.3465531
403	483.2153553
404	483.0939121
405	482.7886982
406	482.5826561
407	482.3580051
408	482.1136691
409	482.0153987
410	481.8936793
411	481.6877104
412	481.5564071
413	481.4039202
414	481.1952233
415	480.9498999
416	480.7487501
417	480.5933631
418	480.4952783
419	480.3369604
420	480.2928202
421	480.0785601
422	480.0433657
423	479.888177
424	479.764959
425	479.6046838
426	479.486896
427	479.3876554
428	479.2304848
429	479.0931383
430	478.9159664
431	478.7899362
432	478.6287084
433	478.4635665
434	478.3082561
435	478.1769114
436	478.0467837
437	478.0221254
438	477.8085806
439	477.6300224
440	477.5099523
441	477.3875031
442	477.2808653
443	477.1228213
444	477.035283
445	476.9015341
446	476.7915613
447	476.6413134
448	476.4790029
449	476.281809
450	476.1220261
451	476.0797453
452	475.9877949
453	475.8920792
454	475.8624489
455	475.765109
456	475.5279752
457	475.5256261
458	475.3293622
459	475.3279306
460	475.2373495
461	475.0980414
462	474.9938384
463	474.8739519
464	474.7753745
465	474.7367151
466	474.6218198
467	474.4677109
468	474.3525389
469	474.3130527
470	474.150671
471	473.8126164
472	473.8112352
473	473.809905
474	473.6732062
475	473.5193304
476	473.3730446
477	473.2498189
478	473.1729059
479	473.096248
480	473.0597837
481	472.9593888
482	472.8833976
483	472.7967765
484	472.5738123
485	472.4384569
486	472.2614683
487	472.2353371
488	472.2340975
489	472.205434
490	472.1190028
491	472.0376246
492	471.9651695
493	471.8688841
494	471.7794722
495	471.6885108
496	471.5369796
497	471.288564
498	471.2598402
499	471.0554148
500	471.0543069
501	471.0178992
502	470.7134171
503	470.6324251
504	470.5164527
505	470.3139578
506	470.0814314
507	470.0342708
508	469.9328735
509	469.801098
510	469.6398099
511	469.4938209
512	469.3831208
513	469.2380256
514	468.9727942
515	468.8619621
516	468.7537161
517	468.5609651
518	468.4347741
519	468.3183544
520	468.2864671
521	468.0377267
522	467.9701922
523	467.7537119
524	467.6497897
525	467.5812537
526	467.4833285
527	467.4101383
528	467.28311
529	467.0170971
530	466.949617
531	466.8501903
532	466.749566
533	466.6420366
534	466.6216396
535	466.432197
536	466.313669
537	466.2582585
538	466.1719346
539	466.0000204
540	465.9086759
541	465.7774462
542	465.7213607
543	465.5549702
544	465.4475415
545	465.3602915
546	465.1508783
547	464.9679476
548	464.9232851
549	464.8534204
550	464.7207085
551	464.6610615
552	464.4844855
553	464.3154026
554	464.1897689
555	464.1495204
556	464.0441125
557	463.9374412
558	463.736898
559	463.5570746
560	463.3580341
561	463.1233959
562	462.9262647
563	462.8465234
564	462.6740491
565	462.5895951
566	462.4642971
567	462.4027758
568	462.2833779
569	462.0906786
570	461.939952
571	461.7711366
572	461.6566047
573	461.4666877
574	461.3794588
575	461.302388
576	461.1539706
577	461.001705
578	460.8600992
579	460.6546045
580	460.4637844
581	460.3249462
582	460.2330004
583	460.1557257
584	459.9866307
585	459.9039896
586	459.7820118
587	459.6737454
588	459.642476
589	459.436489
590	459.4073719
591	459.2979272
592	459.2025108
593	459.1565443
594	459.0514945
595	459.0289812
596	459.0051033
597	458.8644431
598	458.7636934
599	458.7035634
600	458.6490879
601	458.5986226
602	458.516177
603	458.4468379
604	458.3386865
605	458.300752
606	458.202708
607	458.1722725
608	458.0465721
609	457.9970854
610	457.8500823
611	457.7638901
612	457.6466434
613	457.5439347
614	457.3991336
615	457.2016952
616	457.1631997
617	457.0814068
618	457.0006248
619	456.9314725
620	456.8069109
621	456.691224
622	456.5862206
623	456.4751165
624	456.3681652
625	456.2587299
626	456.1611924
627	456.0993392
628	455.9742443
629	455.9126564
630	455.7036375
631	455.6362419
632	455.5419798
633	455.3945231
634	455.2915809
635	455.2686074
636	455.1573291
637	455.1319183
638	455.0394768
639	454.9555094
640	454.7790781
641	454.7064216
642	454.5016621
643	454.4400011
644	454.3550431
645	454.0509134
646	453.9834007
647	453.9037676
648	453.8657795
649	453.7273662
650	453.6505674
651	453.617421
652	453.523553
653	453.4891292
654	453.242378
655	453.2248035
656	453.1923755
657	453.1638018
658	453.0793085
659	452.9311263
660	452.7729379
661	452.7286699
662	452.633262
663	452.4508582
664	452.4034075
665	452.2475801
666	452.1122609
667	452.0784769
668	452.0482981
669	451.9499107
670	451.8126413
671	451.6903898
672	451.6761082
673	451.5469695
674	451.4834906
675	451.4611761
676	451.4313143
677	451.260395
678	451.2422896
679	451.1837183
680	451.1332225
681	450.9943509
682	450.9807477
683	450.959921
684	450.9012328
685	450.7745784
686	450.6722884
687	450.4777675
688	450.3293351
689	450.1959189
690	450.0389494
691	449.8953791
692	449.8204637
693	449.7947237
694	449.6899844
695	449.5780344
696	449.4759864
697	449.3775373
698	449.2703074
699	449.1781614
700	449.1286371
701	449.0823279
702	448.9988646
703	448.9738881
704	448.8558795
705	448.7199597
706	448.5910386
707	448.5047843
708	448.441571
709	448.364489
710	448.3086236
711	448.285379
712	448.1739261
713	448.0168707
714	447.9308583
715	447.8705239
716	447.8007188
717	447.7730727
718	447.681427
719	447.587219
720	447.5314393
721	447.4851797
722	447.3163297
723	447.1268934
724	447.026341
725	447.0194583
726	446.8773887
727	446.7493187
728	446.6204449
729	446.537082
730	446.4258998
731	446.3343973
732	446.2462307
733	446.1806955
734	446.1422327
735	446.026352
736	445.9573383
737	445.8001173
738	445.6830685
739	445.5300216
740	445.4415036
741	445.3007906
742	445.2235457
743	445.07048
744	445.0131039
745	444.8890548
746	444.8333364
747	444.7355683
748	444.6353703
749	444.505703
750	444.3415622
751	444.2875919
752	444.2447165
753	444.1946901
754	444.1552783
755	444.1353668
756	444.0973711
757	443.9629479
758	443.8015355
759	443.7556317
760	443.6948322
761	443.6274802
762	443.4804928
763	443.469106
764	443.4541502
765	443.3052138
766	443.2658501
767	443.1310085
768	443.1088914
769	443.0308751
770	442.9502069
771	442.8944383
772	442.7977801
773	442.7790992
774	442.7343614
775	442.6850427
776	442.5616979
777	442.5349662
778	442.4976599
779	442.2989412
780	442.2341478
781	442.1811811
782	442.0988615
783	442.0151801
784	441.976832
785	441.9433412
786	441.8606815
787	441.810922
788	441.7073006
789	441.6836314
790	441.5845942
791	441.5093819
792	441.4706742
793	441.4604102
794	441.4002177
795	441.386521
796	441.3490722
797	441.1597442
798	441.1423896
799	441.1175185
800	441.0631405
801	441.02324
802	440.9543161
803	440.89477
804	440.7992876
805	440.6859435
806	440.6622797
807	440.5866288
808	440.4511206
809	440.3757461
810	440.3205719
811	440.2165584
812	440.1589392
813	440.0431298
814	440.0055333
815	439.8630862
816	439.7175919
817	439.6182285
818	439.5956386
819	439.448475
820	439.2968678
821	439.2057636
822	439.0106554
823	438.9396841
824	438.8063459
825	438.6685387
826	438.5500233
827	438.5206843
828	438.4767964
829	438.3623954
830	438.2200741
831	438.0796868
832	438.0265999
833	437.9013127
834	437.8503362
835	437.7841035
836	437.6350714
837	437.489816
838	437.4720358
839	437.3993926
840	437.2890843
841	437.2183134
842	437.1301558
843	437.0575775
844	437.0063799
845	436.9090321
846	436.7975841
847	436.6414863
848	436.5464013
849	436.3626765
850	436.2745438
851	436.1181593
852	436.0123969
853	435.9590473
854	435.8813138
855	435.8077183
856	435.7410367
857	435.7294157
858	435.6578927
859	435.652151
860	435.5808235
861	435.5168851
862	435.5115177
863	435.411554
864	435.3733472
865	435.3050752
866	435.2071709
867	435.147063
868	435.0991635
869	434.9573441
870	434.9521957
871	434.8157332
872	434.7355528
873	434.678584
874	434.5247263
875	434.5139351
876	434.5064762
877	434.4279227
878	434.3646303
879	434.2452937
880	434.2359156
881	434.1357367
882	434.1279314
883	433.9517205
884	433.8969107
885	433.8881482
886	433.7495631
887	433.6938019
888	433.6334683
889	433.5359664
890	433.49617
891	433.474872
892	433.4745063
893	433.3702133
894	433.2116334
895	433.1496616
896	433.0666866
897	432.9516273
